true_class,Diterpenoids,Sesquiterpenoids,Triterpenoids,Flavonoids,Steroids,Tryptophan alkaloids,Oligopeptides,Monoterpenoids,Polycyclic aromatic polyketides,Meroterpenoids,Unknown,Coumarins,Macrolides,Lignans,Isoflavonoids,Linear polyketides,Cyclic polyketides,Aromatic polyketides,Tyrosine alkaloids,Small peptides,Naphthalenes,Chromanes,Peptide alkaloids,Pseudoalkaloids,Fatty acyls,Xanthones,Phenolic acids (C6-C1),Lysine alkaloids,Carotenoids (C40),Fatty Acids and Conjugates,Anthranilic acid alkaloids,Multi,Phenylpropanoids (C6-C3),Phloroglucinols,Sesterterpenoids,Stilbenoids,Nicotinic acid alkaloids,Ornithine alkaloids,Diarylheptanoids,Apocarotenoids,Terphenyls,Fatty esters,Sphingolipids,Fatty amides,Polyethers,Glycerolipids,Nucleosides,Histidine alkaloids,Eicosanoids,Diphenyl ethers (DPEs),Saccharides,Glycerophospholipids,Styrylpyrones,Phenanthrenoids,Octadecanoids,Amino acid glycosides,Proline alkaloids,Polyols,β-lactams,Miscellaneous polyketides,Diazotetronic acids and derivatives,Alkylresorcinols,Aminosugars and aminoglycosides,Serine alkaloids,Tetramate alkaloids,γ-lactam-β-lactones,Docosanoids,Fatty acyl glycosides,Phenylethanoids (C6-C2),Guanidine alkaloids,Polyprenols,Carotenoids (C50)
Tyrosine alkaloids,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aromatic polyketides,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,77,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small peptides,1,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naphthalenes,0,0,0,0,0,0,0,0,6,0,5,0,0,1,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromanes,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,1,1,0,0,0,2,50,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptide alkaloids,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudoalkaloids,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthranilic acid alkaloids,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,33,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysine alkaloids,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatty acyls,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
