true_class,Diterpenoids,Sesquiterpenoids,Triterpenoids,Flavonoids,Steroids,Tryptophan alkaloids,Unknown,Oligopeptides,Monoterpenoids,Polycyclic aromatic polyketides,Meroterpenoids,Coumarins,Macrolides,Lignans,Linear polyketides,Isoflavonoids,Tyrosine alkaloids,Cyclic polyketides,Aromatic polyketides,Naphthalenes,Small peptides,Multi,Chromanes,Peptide alkaloids,Pseudoalkaloids,Xanthones,Fatty acyls,Fatty Acids and Conjugates,Phenolic acids (C6-C1),Lysine alkaloids,Carotenoids (C40),Anthranilic acid alkaloids,Phenylpropanoids (C6-C3),Sesterterpenoids,Phloroglucinols,Stilbenoids,Apocarotenoids,Nicotinic acid alkaloids,Ornithine alkaloids,Terphenyls,Diarylheptanoids,Fatty esters,Sphingolipids,Fatty amides,Polyethers,Glycerolipids,Histidine alkaloids,Eicosanoids,Diphenyl ethers (DPEs),Saccharides,Nucleosides,Glycerophospholipids,Phenanthrenoids,Styrylpyrones,Amino acid glycosides,Octadecanoids,Proline alkaloids,β-lactams,Polyols,Miscellaneous polyketides,Alkylresorcinols,Polyprenols,Serine alkaloids,Aminosugars and aminoglycosides,Diazotetronic acids and derivatives,Tetramate alkaloids,Phenylethanoids (C6-C2),Carotenoids (C50),Fatty acyl glycosides,Tropolones,Docosanoids,γ-lactam-β-lactones,Guanidine alkaloids,Fluorenes
Fatty acyls,0,0,3,1,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,175,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenolic acids (C6-C1),0,0,0,5,0,0,34,0,0,1,1,1,0,1,0,1,0,0,5,0,2,3,1,2,0,0,1,0,130,0,0,3,4,0,9,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthones,0,0,0,8,0,0,4,0,0,0,0,5,0,0,0,6,0,0,4,1,0,12,10,0,2,155,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatty Acids and Conjugates,0,2,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,2,0,0,0,14,0,0,0,0,2,159,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenylpropanoids (C6-C3),0,0,3,3,0,0,22,0,0,0,1,0,0,18,0,0,0,0,0,0,1,21,0,1,0,0,0,0,3,0,0,0,122,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Carotenoids (C40),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,164,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sesterterpenoids,5,1,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ornithine alkaloids,0,0,0,0,0,0,28,1,3,0,0,0,0,1,0,0,0,0,0,0,7,2,0,1,0,0,2,0,0,4,0,0,3,0,0,0,1,0,89,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Nicotinic acid alkaloids,2,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phloroglucinols,0,0,0,5,0,0,9,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stilbenoids,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diarylheptanoids,0,0,0,1,0,0,6,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Sphingolipids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatty esters,0,0,0,0,0,0,8,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Histidine alkaloids,0,0,0,0,0,15,16,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fatty amides,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apocarotenoids,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terphenyls,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycerolipids,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polyethers,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saccharides,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eicosanoids,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenanthrenoids,0,2,0,0,0,2,9,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diphenyl ethers (DPEs),0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Styrylpyrones,0,0,0,4,0,0,8,0,0,0,0,3,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nucleosides,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proline alkaloids,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
